Index,German,English
519,"das kochbuch, -""er",the cookbook
520,das koffein,the caffeine (no plural)
521,das kommt nicht in frage!,that's out of the question!
522,"das kompliment, -e",the compliment
523,"das konsulat, -e",the consulate
524,"das konto, die konten",the account (financial)
525,"das konzept, -e",the concept
526,"das konzert, -e",the concert
527,"das kostüm, -e",the (women's) suit
528,"das kraftwerk, -e",the power station
529,"das krankenhaus, -""er",the hospital
530,"das kreuz, -e",the cross
531,"das labor, -s",the laboratory
532,"das lagerfeuer, -",the campfire
533,"das lama, -s",the llama
534,"das lamm, -""er",the lamb
535,"das land, -""er","the country, the state"
536,"das landschaftsbild, -er",the landscape painting
537,"das leben, -",the life
538,"das lebensjahr, -e",the year of one's life
539,"das lebensmittel, -","the groceries, the foodstuffs"
540,"das lebensmittelgeschäft, -e",the grocery store
541,das leder,the leather (no plural)
542,"das lenkrad, -""er",the steering wheel (car)
543,"die lesung, -en",the reading
544,das letzte mal,the last time (no plural)
545,"das licht, -er",the light
546,"das lied, -er",the song
547,"das loch, -""er",the hole
548,das macht nichts!,that/it doesn't matter!
549,"das mädchen, -",the girl
550,"das magazin, -e",the magazine
551,"das mal, -e",the time (occurrence)
552,"das märchen, -",the fairy tale
553,"das massenprodukt, -e",the mass-produced product
554,"das medikament, -e",the medication
555,"das meer, -e",the sea (2)
556,"das meerschweinchen, -",the guinea pig
557,das mehl,the flour (no plural)
558,"das messer, -",the knife
559,"das metall, -e",the metal
560,"das mietshaus, -""er",the apartment building
561,"das mikroskop, -e",the microscope
562,"stilles mineralwasser, -""",natural/still mineral water (nt)
563,"das missverständnis, -se",the misunderstanding
564,"das mitbringsel, -",the small gift (for a host)
565,"das mitglied, -er",the member
566,"das mittagessen, -","the lunch, the noon meal"
567,"das möbelstück, -e",the piece of furniture
568,"das modegeschäft, -e",the clothes shop
569,"das modell, -e",the model
570,"das mofa, -s",the moped
571,"das motiv, -e",the motif
572,"das motorboot, -e",the motorboat
573,"das motorrad, -""er",the motorcycle
574,"das mountainbike, -s",the mountain bike
575,"das museum, die museen",the museum
576,das müsli,the muesli (no plural)
577,"das nachthemd, -en",the night-dress; night-shirt
578,"das namensschild, -er",the name plate
579,"das netz, -e",the net
580,"das neujahr, -e",the new year
581,das nichts,the nothingness; the void; the nonentity (no plural)
582,"das nomen, die nomina",the noun (1)
583,"das notebook, -s",the notebook (computer) or laptop
584,"das notizbuch, -""er",the notebook (≠computer)
585,das obst,the fruit (no plural)
586,"das ohr, -en",the ear
587,"das oktoberfest, -e",the octoberfest
588,"das öl, -e",the oil
589,"das olivenöl, -e",the olive oil
590,"das silvester, -",the new year's eve
591,"das orchester, -",the orchestra
592,"das ornament, -e",the ornament
593,profiliert,prominent (of a person or organisation)
594,"das outfit, -s",the outfit
595,"das paar, -e","the pair, the couple"
596,"das paket, -e",the parcel / package (large)
597,"das papier, -e","the paper, the document"
598,"das paradies, -e",the paradise
599,"das parfüm, -e",the perfume
600,das parkett,the parquet flooring (no plural): a type of cross-woodboard pattern
601,"das parkhaus, -""er",the multi-storey car park
602,"das parlament, -e",the parliament
603,"das pech, -e","the bad luck, pitch (coal tar residue)"
604,das personal,"the staff, the personnel (no plural)"
605,"das pferd, -e",the horse
606,"das pfingsten, -",the pentecost / whitsun
607,"das pflaster, -","the sticking plaster, band-aid"
608,"das pflichtfach, -""er",the compulsory subject
609,"das pfund, -e",the pound (weight)
610,"das picknick, -s",the picnic
611,"das pipimädchen, -",the stupid little girl
612,"das plastik, -s",the plastic (2)
613,"das portemonnaie, -s",the wallet (3)
614,"das porträt, -s",the portrait
615,"das postamt, -""er",the post office
616,"das poster, -",the poster
617,das präsens,the present tense (no plural)
618,das präteritum,the simple past tense (no plural)
619,"das präzisionsinstrument, -e",the precision instrument
620,"das privathaus, -""er",the private home
621,"das problem, -e",the problem
622,"das produkt, -e",the product
623,"das projekt, -e",the project
624,"das prozent, -e",the percent
625,"das rad, -""er","the wheel, the bike"
626,das radfahren,the cycling (no plural)
627,"der radiergummi, -s",the eraser/the rubber
628,"das radio, -s",the radio
629,"das rathaus, -""er",the city hall / town hall
630,das rauchen,the smoking (no plural)
631,"das recht, -e",the right
632,"das referat, -e","the paper / report (eg school assignment),"
633,"das reformhaus, -""er",the health food store
634,"das regal, -e",the shelf
635,das regenwetter,the rainy weather (no plural)
636,"das reihenhaus, -""er",the terraced house
637,"das reisebüro, -s",the travel agency
638,"das reiseziel, -e",the destination
639,"das requiem, die requien",the requiem
640,"das restaurant, -s",the restaurant (2)
641,"das rezept, -e",1. the recipe; 2. the prescription
642,das rheintal,the rhine valley (no plural)
643,"das risiko, die risiken",the risk
644,"das rockfest, -e",the rock festival
645,das rote kreuz,the red cross (no plural)
646,das rotkäppchen,the little red riding hood (no plural)
647,"das salz, -e",the salt
648,das sauerkraut,the sauerkraut (no plural)
649,"das sauwetter, -",the rotten weather (2)
650,das schach,the chess (no plural)
651,"das schaf, -e",the sheep
652,"das schaubild, -er","the diagram, the graph"
653,"das scheckheft, -e",the cheque book
654,"das schiff, -e",the ship
655,"das schild, -er",1. the shield. 2. the sign.
656,"das schlafzimmer, -",the bedroom
657,"das schlagzeug, -e",the percussion; drums
658,"das schloss, -""er",1. the lock;2. the castle
659,"das schnitzel, -",1. the escalope (pork or veal); 2. the shred
660,"das schuhgeschäft, -e",the shoe store
661,"das schulzeugnis, -se",the school report card
662,"das schwarzbrot, -e",the black bread (usually rye)
663,"das schwarze brett, -er","the bulletin board, the notice board"
664,"das schwein, -e",the pig
665,das schweizerdeutsch,the swiss-german (no plural)
666,das scrabble,the scrabble (no plural)
667,"das semester, -",the semester
668,"das seminar, -e",the seminar
669,"das seniorenheim, -e",the senior citizens' home
670,"das shampoo, -s",the shampoo
671,das silber,"the silver, (no plural)"
672,das skilaufen,skiing (as an activity) (no plural)
673,"das sofa, -s",the sofa
674,"der softdrink, -s",the soft drink
675,das softeis,the soft ice cream (no plural)
676,"das sonderangebot, -e",the special sales offer
677,"das sozialamt, -""er",the welfare office
678,"das sparkonto, die sparkonten",the savings account
679,"das spielwarengeschäft, -e",the toy store
680,"das sportcoupé, -s",the sport coupe
681,"das sportprogramm, -e",the sports program
682,"das spülbecken, -",the sink
683,"das stadion, die stadien",the stadium
684,"das stadtzentrum, die stadtzentren",the city or town center
685,"das steak, -s",the steak
686,"das steuer, -",the rudder
687,"das steuerrad, -""er",the steering wheel; ship's helm
688,"das stichwort, -""er",the key word
689,das stimmt.,that's right.
690,"das stofftier, -e",the soft toy (animal)
691,"das streichholz, -""er","the match (for lighting cigarettes, etc.)"
692,"das stück, -e",the piece
693,"das studentenheim, -e",the dormitory or student residence
694,"das studentenleben, -",the student life
695,"das studentenwerk, -e",the students' union
696,"das studienfach, -""er",the field of study
697,"das studium, die studien","the studies, the (course of) study"
698,"das substantiv, -e",the noun (2)
699,"das surfbrett, -er",the surfboard
700,"das sweatshirt, -s",the sweatshirt
701,"das symbol, -e",the symbol
702,"das synonym, -e",the synonym
703,"das system, -e",the system
704,"das tablett, -s",the tray
705,"das tagebuch, -""er",the diary
706,"das tagesmenü, -s",the special of the day (restaurant)
707,"das tal, -""er",the valley
708,"das talent, -e",the talent
709,"das taschenbuch, -""er",the paperback
710,"das taschengeld, -er",the pocket money
711,"das taschenmesser, -",the pocket knife
712,"das taschentuch, -""er",the handkerchief
713,"das asyl, -e",the asylum
714,"das taxi, -s",the taxi
715,"das telefon, -e",the telephone
716,"das telefonbuch, -""er",the telephone directory
717,"das telefongespräch, -e",the telephone conversation
718,"das teleskop, -e",the telescope
719,das tennis,the tennis (no plural)
720,"das theater, -",the theatre
721,"das theaterstück, -e",the theatrical play
722,"das thema, die themen",the topic
723,das thermometer zeigt zehn grad.,the thermometer reads ten degrees.
724,"das thermometer, -",the thermometer
725,"das tier, -e",the animal
726,"das tischtuch, -""er",the tablecloth
727,das toilettenpapier,the toilet paper (no plural)
728,"das tor, -e",the gate
729,"das trinkgeld, -er",the tip (money)
730,"das t-shirt, -s",the t-shirt
731,"das tuch, -""er","the scarf, cloth, fabric"
732,das turnen,the gymnastics (no plural)
733,"das überbleibsel, -","the relic, the remnant"
734,"das ufer, -","the bank (river), the shore (sea)"
735,das umland,the surrounding area (no plural)
736,"das unterrichtsbuch, -""er",the textbook
737,das vanilleeis,the vanilla ice cream (no plural)
738,"das vergnügen, -","the pleasure, enjoyment, delight"
739,"das verkehrsamt, -""er",the traffic office / the tourist office
740,"das öffentliche verkehrsmittel, -",the public transport
741,"das verkehrszeichen, -",the road sign; the traffic sign
742,das verstecken,hide and seek
743,das verstehen,the understanding
744,das vertrauen,the trust (no plural)
745,"das video, -s",the video
746,"das viertel, -",the quarter
747,"das vitamin, -e",the vitamin
748,"das vorstellungsgespräch, -e",the job interview (2)
749,"das wachs, -e",the wax
750,"das wahlfach, -""er",the option (-al subject)
751,"das waisenkind, -er",the orphan
752,"das waschbecken, -",the washbasin
753,das waschpulver,the washing powder (no plural)
754,"das wasser, -""",the water
755,"das weihnachten, -",the christmas
756,"das weihnachtsgeschenk, -e",the christmas present
757,"das weinglas, -""er",the wine glass
758,das weltkulturerbe,the world cultural heritage (no plural)
759,"das weltmeer, -e",the ocean (2)
760,"das werk, -e","the work (of art, etc.); the works (as in factory)"
761,"das werkzeug, -e",the tool
762,das wetter,the weather (no plural)
763,"das wiener schnitzel, -",the breaded veal cutlet
764,"das wirtschaftswunder, -",the economic miracle
765,"das wochenende, -n",the weekend
766,"das wochenendhaus, -""er",the weekend cottage
767,"das wohnhaus, -""er",the residential building
768,"das wohnzimmer, -",the living room
769,"das wort, -""er",the word (in a given lexicon)
770,"das wort, -e",the word (in a given context)
771,"das wörterbuch, -""er",the dictionary
772,"das wunderkind, -er",the child prodigy
